family_id,grid_cell_id,stability_check,feature_name,baseline_direction_for_left_bad,check_direction_for_left_bad,direction_stable_flag,effective_fold_n,direction_stable_fold_n,direction_stable_fold_rate,top_removed_instrument_n,top_removed_winner_n,oriented_auc_after_check,feature_support_gate_after_check,stability_gate_component,lomo_stability_status,diagnostic_only_flag,blocking_reason
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,instrument_cluster_bootstrap,match_vol60,positive,positive,True,2000,2000,1.0,0,0,0.6264180613276423,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top1_winner_instrument_removal,match_vol60,positive,positive,True,1,1,1.0,1,16,0.6326773098182199,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top3_winner_instrument_removal,match_vol60,positive,positive,True,1,1,1.0,3,39,0.6449536689206111,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,leave_one_month_out_held_out_month_diagnostic,match_vol60,positive,positive,False,2,0,0.0,0,0,,diagnostic_only,diagnostic_only,diagnostic_only_insufficient_effective_month_support,True,diagnostic_only_insufficient_effective_month_support
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,instrument_cluster_bootstrap,atr_20_pct_asof_decision_date,positive,positive,True,2000,2000,1.0,0,0,0.614663596540492,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top1_winner_instrument_removal,atr_20_pct_asof_decision_date,positive,positive,True,1,1,1.0,1,16,0.6165087278890565,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top3_winner_instrument_removal,atr_20_pct_asof_decision_date,positive,positive,True,1,1,1.0,3,39,0.6187828700225394,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,leave_one_month_out_held_out_month_diagnostic,atr_20_pct_asof_decision_date,positive,positive,False,2,0,0.0,0,0,,diagnostic_only,diagnostic_only,diagnostic_only_insufficient_effective_month_support,True,diagnostic_only_insufficient_effective_month_support
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,instrument_cluster_bootstrap,return_60d_asof_decision_date,positive,positive,True,2000,2000,1.0,0,0,0.5935639672020667,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top1_winner_instrument_removal,return_60d_asof_decision_date,positive,positive,True,1,1,1.0,1,16,0.5943293474905499,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top3_winner_instrument_removal,return_60d_asof_decision_date,positive,positive,True,1,1,1.0,3,39,0.601321061858252,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,leave_one_month_out_held_out_month_diagnostic,return_60d_asof_decision_date,positive,positive,False,2,0,0.0,0,0,,diagnostic_only,diagnostic_only,diagnostic_only_insufficient_effective_month_support,True,diagnostic_only_insufficient_effective_month_support
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,instrument_cluster_bootstrap,close_to_ema60_asof_decision_date,positive,positive,True,2000,2000,1.0,0,0,0.5887734471526451,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top1_winner_instrument_removal,close_to_ema60_asof_decision_date,positive,positive,True,1,1,1.0,1,16,0.5898387218899068,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top3_winner_instrument_removal,close_to_ema60_asof_decision_date,positive,positive,True,1,1,1.0,3,39,0.5983408464813423,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,leave_one_month_out_held_out_month_diagnostic,close_to_ema60_asof_decision_date,positive,positive,False,2,0,0.0,0,0,,diagnostic_only,diagnostic_only,diagnostic_only_insufficient_effective_month_support,True,diagnostic_only_insufficient_effective_month_support
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,instrument_cluster_bootstrap,market_drawdown_60d_asof_decision_date,negative,negative,True,2000,2000,1.0,0,0,0.5692940581826351,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top1_winner_instrument_removal,market_drawdown_60d_asof_decision_date,negative,negative,True,1,1,1.0,1,16,0.5693717201251085,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,top3_winner_instrument_removal,market_drawdown_60d_asof_decision_date,negative,negative,True,1,1,1.0,3,39,0.5630885299273729,pass,pass,not_lomo_check,True,
B2_relative_strength_breakout,B2-relative-strength-breakout__182b3d0f30f5,leave_one_month_out_held_out_month_diagnostic,market_drawdown_60d_asof_decision_date,negative,negative,False,2,0,0.0,0,0,,diagnostic_only,diagnostic_only,diagnostic_only_insufficient_effective_month_support,True,diagnostic_only_insufficient_effective_month_support
B5_recent_high_close_plus_amount_expansion,B5-recent-high-close-plus-amount-expansion__25d72c708fc1,B5_negative_control_contrast,match_vol60,positive,positive,True,1,1,1.0,0,0,0.5834898720073138,pass,diagnostic_only,not_lomo_check,True,
