split,seed_episode_id,instrument_id,seed_trade_date,seed_family_set,seed_condition_group_set,complete_h120_close_anchor_flag,big_winner_forward_h120_close_anchor,big_winner_forward_h120_next_open_anchor,canonical_ref_after_seed_within_30td,canonical_ref_after_seed_within_120td,label_consistency_status
train,b8030bd9c830d321,SH600000,2017-10-09,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,415c4914859f3d9e,SH600000,2017-11-21,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,38fa37f8a1566144,SH600000,2018-01-10,oscillator|range_breakout|volatility_band|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,68e99ef40f668718,SH600000,2018-04-10,range_breakout,range_breakout__and3__00e51295d9c3,True,False,False,False,False,complete
train,9091f704601082ad,SH600000,2018-07-09,range_breakout|volatility_band,range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10,True,False,False,False,False,complete
train,201b072931f42466,SH600000,2018-08-24,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,b9b6dbbff335bba9,SH600000,2018-10-22,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,oscillator__and4__95dbd99ae828|price_trend__and3__6030760ed19f|pullback_drawdown__and3__11795aa42e45|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,f550adb62c67a548,SH600000,2018-12-04,pullback_drawdown|range_breakout|volatility_band,pullback_drawdown__and3__11795aa42e45|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10,True,False,False,False,False,complete
train,fe0ca11057cc8967,SH600000,2019-01-18,oscillator|range_breakout|volatility_band|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,ad0e06d621afc2d1,SH600000,2019-04-04,pullback_drawdown|range_breakout|volatility_band,pullback_drawdown__and3__11795aa42e45|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10,True,False,False,False,False,complete
train,72a3a5c5839b97ff,SH600000,2019-06-04,oscillator|range_breakout,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3,True,False,False,False,False,complete
train,6b509e8b1c8ae4e8,SH600000,2019-07-19,range_breakout,range_breakout__and3__00e51295d9c3,True,False,False,False,False,complete
train,dde33c849aa9f42c,SH600000,2019-09-05,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,24c082521f60b226,SH600000,2019-12-13,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,3b455d59e19c25da,SH600000,2020-02-17,oscillator|range_breakout|volatility_band,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10,True,False,False,False,False,complete
train,ef21dbc4364fd5d8,SH600000,2020-04-07,range_breakout,range_breakout__and3__00e51295d9c3,True,False,False,False,False,complete
train,223586065401db46,SH600000,2020-05-28,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,acd68517109610f8,SH600000,2020-08-17,oscillator|range_breakout|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,8263e19da1f5d30a,SH600000,2020-10-16,oscillator|range_breakout,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3,True,False,False,False,False,complete
train,4736fe599ba42089,SH600000,2020-11-30,oscillator|volume_money,oscillator__and4__95dbd99ae828|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
train,65c479e34a61efa2,SH600000,2021-01-13,range_breakout,range_breakout__and3__00e51295d9c3,True,False,False,False,False,complete
train,c58ed5f6d373044d,SH600000,2021-03-15,oscillator|range_breakout|volatility_band|volume_money,oscillator__and4__95dbd99ae828|range_breakout__and3__00e51295d9c3|volatility_band__and4__ef9c875dde10|volume_money__and4__4eb7a99e922f,True,False,False,False,False,complete
