split,anchor_family_id,baseline_id,horizon_id,event_count,anchor_trigger_count,anchor_trigger_rate_per_launch_episode,unique_instrument_count,unique_instrument_year_count,mean_after_cost_return_H20,median_after_cost_return_H20,p05_after_cost_return_H20,max_adverse_excursion_mean_H20,winner_capture_rate_50h120,winner_capture_rate_100h240,instrument_year_positive_rate,top1_instrument_year_pnl_share,top5_instrument_exposure_share,failure_lookalike_rate,mean_after_cost_return_H10,median_after_cost_return_H10,p05_after_cost_return_H10,max_adverse_excursion_mean_H10,mean_after_cost_return_H60,median_after_cost_return_H60,p05_after_cost_return_H60,max_adverse_excursion_mean_H60
train,pullback_hold_restrengthen,anchor,H20,181,181.0,0.1569817866435386,108,149,0.0015399896763484825,-0.0003048744689258991,-0.18104892191420396,-0.09418357406638014,0.16574585635359115,0.09944751381215469,0.48322147651006714,0.04671270876548824,0.12154696132596685,0.788056206088993,,,,,,,,
train,pullback_hold_restrengthen,all_launch_direct_baseline,H20,2213,,,211,594,-0.007523040051706687,-0.02939818668623694,-0.1878679355723161,-0.09200665777833365,0.17849073655671036,0.12245820153637596,0.33164983164983164,0.04280662837532318,0.0596475372797108,,,,,,,,,
train,pullback_hold_restrengthen,matched_delay_baseline,H20,180,,,108,148,-0.0004694834707515841,-0.03179720727136169,-0.1895614302069979,-0.09137094605804691,0.18888888888888888,0.1111111111111111,0.39864864864864863,0.10513590330084546,0.12222222222222222,,,,,,,,,
train,pullback_hold_restrengthen,same_instrument_nonanchor_baseline,H20,147,,,92,123,0.013446326917319592,0.015196819455407195,-0.185563549477084,-0.08156294496941215,0.19727891156462585,0.1360544217687075,0.5447154471544715,0.06188507556709902,0.14285714285714285,,,,,,,,,
train,pullback_hold_restrengthen,industry_matched_baseline,H20,125,,,84,108,-0.0076466821839369595,-0.015158000242086567,-0.19954197900672718,-0.09669277930112088,0.248,0.168,0.4351851851851852,0.128992645298711,0.152,,,,,,,,,
train,pullback_hold_restrengthen,failed_lookalike_baseline,H20,565,,,195,404,-0.0020783999543824597,-0.01833681120682572,-0.17655905460744387,-0.08974322046798941,0.19646017699115045,0.11327433628318584,0.3910891089108911,0.03654569595015848,0.06725663716814159,,,,,,,,,
train,second_breakout,anchor,H20,184,184.0,0.1595836947094536,116,158,-0.004919795568284329,-0.015181848606012505,-0.22198285104066737,-0.10141518293549771,0.22282608695652173,0.10326086956521739,0.4240506329113924,0.08016826987424333,0.09782608695652174,0.7352517985611511,,,,,,,,
train,second_breakout,all_launch_direct_baseline,H20,2213,,,211,594,-0.007523040051706687,-0.02939818668623694,-0.1878679355723161,-0.09200665777833365,0.17849073655671036,0.12245820153637596,0.33164983164983164,0.04280662837532318,0.0596475372797108,,,,,,,,,
train,second_breakout,matched_delay_baseline,H20,182,,,116,155,-0.0024939220802841023,-0.018724482981114943,-0.18373146744082824,-0.09918785699979707,0.22527472527472528,0.10989010989010989,0.44516129032258067,0.09184346856840613,0.09340659340659341,,,,,,,,,
train,second_breakout,same_instrument_nonanchor_baseline,H20,138,,,96,120,0.01616315570542153,-0.011961514654948702,-0.20072439735034253,-0.09280191323894967,0.2826086956521739,0.13768115942028986,0.4583333333333333,0.08367408298524574,0.10869565217391304,,,,,,,,,
