primitive_seed_id,formula_family_group,volatility_range_is_necessary,volume_money_is_necessary,cross_section_rank_is_necessary,industry_market_context_is_necessary,formula_requires_cross_family_interaction,risk_filter_interpretation_supported,risk_filter_interpretation_weakens,matched_null_fdr_pass,valid_ablation_suite_count,ablation_summary_pass,pass
E10C_SEED_3bd310d43fd4eb55,industry_market_context,False,False,True,True,True,False,False,False,6,False,False
E10C_SEED_40178f7159342c21,cross_section_rank;industry_market_context,False,False,True,True,True,False,False,False,7,False,False
E10C_SEED_407e18d7d05fdc98,industry_market_context;price_distance,True,False,True,False,False,False,True,False,7,False,False
E10C_SEED_40eb71b01d3d40de,cross_section_rank,True,False,False,False,False,False,False,False,7,False,False
E10C_SEED_590e25e49151d6bc,,False,False,True,True,True,False,False,False,5,False,False
E10C_SEED_7a91a9802f40eb58,cross_section_rank;kbar_candle_shape,True,False,True,True,False,False,False,False,7,False,False
E10C_SEED_86d5dde1c52d602c,cross_section_rank;volume_money,False,True,False,False,False,True,False,True,7,True,True
E10C_SEED_a802bbc1ee927370,cross_section_rank,False,False,False,False,False,False,False,True,7,False,False
E10C_SEED_bdada75fdd341add,industry_market_context,False,False,True,True,True,False,False,False,6,False,False
E10C_SEED_c161b734a948d4e1,kbar_candle_shape,False,False,True,True,True,True,False,True,7,True,True
E10C_SEED_c645f9790305e9cb,cross_section_rank,False,False,False,False,False,False,False,True,7,False,False
E10C_SEED_c8cecb2b23026b7d,kbar_candle_shape;volume_money,False,False,True,True,True,False,True,False,8,False,False
E10C_SEED_f41f0c1cf62a7319,cross_section_rank,False,False,True,False,False,False,True,True,7,False,False
E10C_SEED_fcda47e3c4b6e009,industry_market_context,False,False,True,True,True,False,False,False,6,False,False
