forbidden_token,searched_artifact,occurrence_count,allowed_context,violation_count,pass
candidate_for_p1_strategy,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
proceed_to_strategy_backtest,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
validated_model,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
selected_lgbm_model,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
selected_score_bucket,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
selected_threshold,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
selected_trade_rule,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
freeze_strategy,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
electronics_alpha_validated,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
electronics_primitive_validated_for_trading,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
direct_launch_winner_trigger_validated,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
failure_reject_primitive_validated,explore10d_recommendation_gate.csv;explore10d_run_manifest.json,0,none,0,True
