primitive_seed_id,formula_text_resolved,operator_count,feature_count,window_count,threshold_bucket_count,uses_only_asof_observable_inputs,raw_threshold_free,leaf_id_free,score_free,manual_formula_complexity_score,manualizability_pass,manual_review_notes,pass,manualizability_carry_forward_pass
E10C_SEED_40178f7159342c21,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,2,3,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_c161b734a948d4e1,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_bdada75fdd341add,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,2,2,1,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_a802bbc1ee927370,atr20_pct_market_rank <= train_q60_65 and atr_like_10 >= train_q00_05 and atr_like_10 <= train_q80_85,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_590e25e49151d6bc,atr20_pct <= train_q75_80 and volatility_return_std_20 >= train_q05_10 and volatility_return_std_20 >= train_q20_25,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_7a91a9802f40eb58,high_vol_destructive_ratio <= train_q80_85 and gap_open_pct >= train_q25_30 and ret_20d_market_rank <= train_q85_90,2,3,1,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_40eb71b01d3d40de,atr20_pct_market_rank <= train_q70_75 and volatility_return_std_5 >= train_q10_15 and volatility_return_std_5 <= train_q85_90,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_407e18d7d05fdc98,atr20_pct <= train_q70_75 and market_volatility_regime >= train_q15_20 and close_over_median_10 <= train_q85_90,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_f41f0c1cf62a7319,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q05_10 and atr20_pct_industry_rank >= train_q30_35,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_fcda47e3c4b6e009,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q25_30 and industry_relative_strength_vs_market_60d >= train_q00_05,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_c8cecb2b23026b7d,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and money_over_mean_5 <= train_q75_80,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_c645f9790305e9cb,atr_like_10 <= train_q80_85 and atr_like_10 >= train_q00_05 and atr20_pct_market_rank <= train_q55_60,2,2,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_86d5dde1c52d602c,money_price_coherence_20 <= train_q65_70 and volume_price_divergence_20 <= train_q90_95 and atr20_pct_market_rank <= train_q70_75,2,3,3,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
E10C_SEED_3bd310d43fd4eb55,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and volatility_return_std_10 <= train_q60_65,2,3,2,3,True,True,True,True,6,True,manual_review_seed_only_not_trade_rule,True,True
