primitive_seed_id,token,token_type,token_source,mapped_formula_component,asof_rule,coverage_status,unmapped_token_count,context_slice_only_token_count,raw_numeric_threshold_token_count,leaf_or_tree_token_count,fold_id,oof_support_count,oof_weighted_support,token_coverage_pass,pass,token_coverage_carry_forward_pass
E10C_SEED_40178f7159342c21,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,feature_asof_date = signal_date,covered,0,0,0,0,fold_2021,204,235.38878620868508,True,True,True
E10C_SEED_40178f7159342c21,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,feature_asof_date = signal_date,covered,0,0,0,0,fold_2022,161,172.4343909250082,True,True,True
E10C_SEED_40178f7159342c21,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and money_20d_market_rank <= train_q75_80 and industry_relative_strength_vs_market_60d >= train_q00_05,feature_asof_date = signal_date,covered,0,0,0,0,fold_2023,217,238.9907354972576,True,True,True
E10C_SEED_c161b734a948d4e1,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,feature_asof_date = signal_date,covered,0,0,0,0,fold_2021,170,183.51269698948929,True,True,True
E10C_SEED_c161b734a948d4e1,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,feature_asof_date = signal_date,covered,0,0,0,0,fold_2022,146,122.51895357565044,True,True,True
E10C_SEED_c161b734a948d4e1,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and atr20_pct >= train_q00_05,feature_asof_date = signal_date,covered,0,0,0,0,fold_2023,215,194.2177929649877,True,True,True
E10C_SEED_bdada75fdd341add,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,feature_asof_date = signal_date,covered,0,0,0,0,fold_2021,112,122.2090261964343,True,True,True
E10C_SEED_bdada75fdd341add,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,feature_asof_date = signal_date,covered,0,0,0,0,fold_2022,181,193.1976682673952,True,True,True
E10C_SEED_bdada75fdd341add,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,quantile_bucket_formula,frozen_path_pattern,atr_like_10 <= train_q80_85 and market_volatility_regime >= train_q15_20 and market_volatility_regime <= train_q80_85,feature_asof_date = signal_date,covered,0,0,0,0,fold_2023,127,108.2123706683269,True,True,True
E10C_SEED_a802bbc1ee927370,atr20_pct_market_rank <= train_q60_65 and atr_like_10 >= train_q00_05 and atr_like_10 <= train_q80_85,quantile_bucket_formula,frozen_path_pattern,atr20_pct_market_rank <= train_q60_65 and atr_like_10 >= train_q00_05 and atr_like_10 <= train_q80_85,feature_asof_date = signal_date,covered,0,0,0,0,fold_2021,244,271.0817577030812,True,True,True
