contract_check_id,observed_value,expected_value,upstream_18b_contract_gate,blocking_reason
decision_state,18B_payoff_state_feature_matrix_ready,18B_payoff_state_feature_matrix_ready,pass,
next_allowed_requirement,requirement_18c_payoff_state_separability_diagnostic.md,requirement_18c_payoff_state_separability_diagnostic.md,pass,
all_hard_gates_pass,True,True,pass,
input_artifact_gate,pass,pass,pass,
feature_target_binding_gate,pass,pass,pass,
feature_matrix_schema_gate,pass,pass,pass,
feature_complete_rate_gate,pass,pass,pass,
feature_lineage_gate,pass,pass,pass,
feature_family_coverage_gate,pass,pass,pass,
train_only_preprocessing_gate,pass,pass,pass,
forbidden_feature_gate,pass,pass,pass,
split_binding_gate,pass,pass,pass,
split_drift_readout_gate,pass,pass,pass,
search_accounting_gate,pass,pass,pass,
entry_policy_authorized,False,False,pass,
exit_policy_authorized,False,False,pass,
holding_policy_authorized,False,False,pass,
portfolio_backtest_authorized,False,False,pass,
model_deployment_authorized,False,False,pass,
production_signal_authorized,False,False,pass,
live_trading_authorized,False,False,pass,
