artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,source_kind,schema_status,read_status,expected_row_n,observed_row_n,expected_identity_key_n,observed_identity_key_n,cache_hash_validated,cache_schema_validated,cache_key_reconciliation_gate,absolute_path_mismatch_ignored,blocking_reason
research_plan,ep18_local_planning,required,research_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/research_plan.md,experiments/pending/18_payoff_state_representation_research/research_plan.md,18_payoff_state_representation_research,18C,817,0e5504d192aa92d925977292acf82ec18601f2070dbb536b15f75432fe99d903,publishable_or_local_cache,pass,pass,,817,,,not_manifested,True,pass,False,
umbrella_requirement,ep18_local_planning,required,umbrella_requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,experiments/pending/18_payoff_state_representation_research/requirement_18_payoff_state_representation_research.md,18_payoff_state_representation_research,18,238,90a21c0e37138310f7d879dab9943b941c96db64327f5cc6b2062df1a3c8b3ba,publishable_or_local_cache,pass,pass,,238,,,not_manifested,True,pass,False,
requirement_18a,ep18_local_planning,required,requirement_18a,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,experiments/pending/18_payoff_state_representation_research/requirement_18a_payoff_state_contract_preflight.md,18_payoff_state_representation_research,18A,931,ae3bc03ec5b7fcb774a47964bfcb81ee4cbdda42d7a39c0572df51429ad38aa5,publishable_or_local_cache,pass,pass,,931,,,not_manifested,True,pass,False,
requirement_18b,ep18_local_planning,required,requirement_18b,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18b_payoff_state_feature_matrix_audit.md,experiments/pending/18_payoff_state_representation_research/requirement_18b_payoff_state_feature_matrix_audit.md,18_payoff_state_representation_research,18B,1266,04fd8e1151a7a6857154544f9183674a72d39bdf9afc6fdf4d34088052244c5b,publishable_or_local_cache,pass,pass,,1266,,,not_manifested,True,pass,False,
requirement_18c,ep18_local_planning,required,requirement_18c,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/requirement_18c_payoff_state_separability_diagnostic.md,experiments/pending/18_payoff_state_representation_research/requirement_18c_payoff_state_separability_diagnostic.md,18_payoff_state_representation_research,18C,1458,6c5f26a212261286bd0f63e78cc20f4a3f40dedf127ac7b7bee2721387f5ae09,publishable_or_local_cache,pass,pass,,1458,,,not_manifested,True,pass,False,
eighteen_b_matrix,eighteen_b_handoff_matrix,required,eighteen_b_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix.parquet,experiments/pending/18_payoff_state_representation_research/outputs/local_cache/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix.parquet,18_payoff_state_representation_research,18B,23405,efcb6d6082a52f917702435fd9995604f4afa5881dda06cd4a5f6fa7f4de7293,publishable_or_local_cache,pass,pass,,23405,,,exact_match,True,pass,False,
eighteen_b_decision,eighteen_b_handoff,required,eighteen_b_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_decision.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_decision.csv,18_payoff_state_representation_research,18B,1,2cc0b5e1962fb794be4535075d9529103f9790223d0081456da84c40ebfedabc,publishable_or_local_cache,pass,pass,,1,,,exact_match,True,pass,False,
eighteen_b_schema,eighteen_b_handoff,required,eighteen_b_schema,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_schema.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/payoff_state_feature_matrix_schema.csv,18_payoff_state_representation_research,18B,75,878408c2be3046dbe396262a9296ba209be6f08f18e00419d1a632608e837b8b,publishable_or_local_cache,pass,pass,,75,,,exact_match,True,pass,False,
eighteen_b_feature_target_binding_audit,eighteen_b_handoff,required,eighteen_b_feature_target_binding_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_target_binding_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_target_binding_audit.csv,18_payoff_state_representation_research,18B,1,0d1c84009f8d9d28ac5da85bd9328430c22c5847294506b114acb1bf70b351da,publishable_or_local_cache,pass,pass,,1,,,exact_match,True,pass,False,
eighteen_b_feature_missingness_audit,eighteen_b_handoff,required,eighteen_b_feature_missingness_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_missingness_audit.csv,experiments/pending/18_payoff_state_representation_research/outputs/publishable/tables/18B_payoff_state_feature_matrix_audit/feature_missingness_audit.csv,18_payoff_state_representation_research,18B,69,f15c4fac2b11621e7eaae1efa20de3f87c6fada02d881632b2ec52d21470a530,publishable_or_local_cache,pass,pass,,69,,,exact_match,True,pass,False,
