artifact_key,artifact_role,required_flag,resolved_path,relative_path,source_phase_id,row_count,sha256,schema_status,lineage_status,gate_status,blocking_reason
requirement,local_contract,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17d_oracle_diagnosis_report.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/requirement_17d_oracle_diagnosis_report.md,17D,1084,0847ef496a22f24691f3d97bb575a3fb4777a1245fc80f5b8802edee5f6a3e09,pass,pass,pass,
research_plan,local_contract,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/research_plan.md,17D,1152,6ca172e3c2587e2042b3a914537208e45523ec53e9d0c139ab4bcd139a8259b7,pass,pass,pass,
seventeen_c_input_gate_audit,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/17c_input_gate_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/17c_input_gate_audit.csv,17C,30,32fd62fa38223cbfdde6b0a8b4fcc52cb9750306673ec3d263299aa76b27591a,pass,pass,pass,
seventeen_c_contract_validation_audit,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/seventeen_b_contract_validation_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/seventeen_b_contract_validation_audit.csv,17C,72,4a508fe66c99b20470a04dc7f0102ac59e6382506877378889d161a1b5cd6b8a,pass,pass,pass,
seventeen_c_primary_summary,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_robustness_primary_summary.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_robustness_primary_summary.csv,17C,4,021fbe8c9722fcd8c10eb3ad333280015d8076b24f9feea905d28b4c63ece6d8,pass,pass,pass,
seventeen_c_topk_sensitivity,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_topk_sensitivity.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_topk_sensitivity.csv,17C,1728,a5eb837325cf5eff7ef23d2f98cbdc6e55a549d93b9ccc79afbc1fd09653c1e4,pass,pass,pass,
seventeen_c_bootstrap_ci,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_bootstrap_ci.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_bootstrap_ci.csv,17C,1728,94d4a547779f96d957974368b1de6c1bb9792b554190bad295db2d03f0fb18cf,pass,pass,pass,
seventeen_c_matched_base,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_matched_base.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_matched_base.csv,17C,36720,549a35888b38214ba42a96ca38dfa3259b4d2d58088e9aefeab26b57147150ac,pass,pass,pass,
seventeen_c_delay_curve,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_delay_curve.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_delay_curve.csv,17C,9,9c30c594ddde893716d25e5836ea6cec7fbe38feb464c66c3b0305009d2123d5,pass,pass,pass,
seventeen_c_capacity_constraint,17c_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_capacity_constraint.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17C_oracle_robustness_stress/oracle_capacity_constraint.csv,17C,3,49e6796e19b236125e08cfa09279dde4e91dbdf13dcf3b19112a8ac3aabe1e34,pass,pass,pass,
