feature_id,feature_family,label_id,shared_series,overlap_type,interpretation_caveat
return_10d,FS0_baseline_h_features,break_swing_low_20,,none,
return_60d,FS0_baseline_h_features,break_swing_low_20,,none,
stock_vs_market_5d,FS0_baseline_h_features,break_swing_low_20,,none,
stock_vs_market_10d,FS0_baseline_h_features,break_swing_low_20,,none,
close_to_high_120,FS0_baseline_h_features,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
direction_entropy_20d,FS0_baseline_h_features,break_swing_low_20,,none,
ema60_positive_run,FS0_baseline_h_features,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
panel_return_20d_rolling_z_60d,FS0_baseline_h_features,break_swing_low_20,,none,
panel_return_20d_rolling_pct_60d,FS0_baseline_h_features,break_swing_low_20,,none,
log_close_fracdiff_d04,FS0_baseline_h_features,break_swing_low_20,,none,
family_count,FS1_event_intrinsic,break_swing_low_20,,none,
channel_count,FS1_event_intrinsic,break_swing_low_20,,none,
raw_cluster_event_count,FS1_event_intrinsic,break_swing_low_20,,none,
event_family_priority,FS1_event_intrinsic,break_swing_low_20,,none,
close_to_ema20,FS2_basis_path_quality,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
close_to_ema60,FS2_basis_path_quality,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
ema20_slope_20d,FS2_basis_path_quality,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
ema60_slope_20d,FS2_basis_path_quality,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
return_5d,FS2_basis_path_quality,break_swing_low_20,,none,
return_20d,FS2_basis_path_quality,break_swing_low_20,,none,
stock_vs_market_20d,FS2_basis_path_quality,break_swing_low_20,,none,
stock_vs_board_20d,FS2_basis_path_quality,break_swing_low_20,,none,
close_to_high_60,FS2_basis_path_quality,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
relative_cusum_20d,FS2_basis_path_quality,break_swing_low_20,,none,
atr_20_pct,FS3_vol_range_stop_distance,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
atr_pct_rank_60d,FS3_vol_range_stop_distance,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
intraday_range_pct,FS3_vol_range_stop_distance,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
close_position_in_range,FS3_vol_range_stop_distance,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
upper_shadow_pct,FS3_vol_range_stop_distance,break_swing_low_20,,none,
gap_open_pct,FS3_vol_range_stop_distance,break_swing_low_20,,none,
range_width_ratio_20d_60d,FS3_vol_range_stop_distance,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
intraday_range_atr_norm,FS3_vol_range_stop_distance,break_swing_low_20,range_or_structural_stop_context,related,Report ablation without related stop/range features in 09C.
return_20d_sigma_norm,FS3_vol_range_stop_distance,break_swing_low_20,,none,
amount_ratio_20d,FS4_amount_volume_vwap_dib,break_swing_low_20,,none,
amount_ratio_60d,FS4_amount_volume_vwap_dib,break_swing_low_20,,none,
turnover_ratio_20d,FS4_amount_volume_vwap_dib,break_swing_low_20,,none,
turnover_ratio_60d,FS4_amount_volume_vwap_dib,break_swing_low_20,,none,
quality_amount_flag,FS4_amount_volume_vwap_dib,break_swing_low_20,,none,
market_return_20d,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
market_drawdown_60d,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
market_volatility_20d,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
universe_up_share,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
universe_up_share_z,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
universe_up_share_change_5d,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
board_relative_cusum_20d,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
momentum_percentile_20d,FS5_market_industry_riskon_quality,break_swing_low_20,,none,
prior_event_count_20d,FS6_recurrence_local_density,break_swing_low_20,,none,
prior_event_count_60d,FS6_recurrence_local_density,break_swing_low_20,,none,
