primitive_id,industry,task,primitive_family,token_coverage_pass,baseline_missing_pass,baseline_sparsity_pass,candidate_level_null_pass,fdr_pass,placebo_stress_pass,slice_stability_pass,concentration_pass,manualizability_pass,candidate_freeze_pass,metric_nonselection_pass,threshold_nonselection_pass,atomic_primitive_candidate_for_next_requirement,reason_if_not_allowed,blocking_audit_name
E10P_41657599f0942ef0,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_f46eee6116c63ab8,电子,failure_reject,negative_control_placebo_context,False,True,True,False,False,True,True,True,True,True,True,True,False,zero_or_insufficient_support;collapsed_under_null;collapsed_under_null;placebo_only,zero_or_insufficient_support
E10P_e6f52d9324c6a727,电子,failure_reject,negative_control_placebo_context,False,True,True,False,False,True,True,False,True,True,True,True,False,zero_or_insufficient_support;collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,zero_or_insufficient_support
E10P_cf61e9054d156ad0,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_f8bf03977ccb0605,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_e29a233d92b7b379,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_bb42a0750e30134b,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_142a778df32a23ea,电子,failure_reject,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_9c79e23c5fca0637,电子,failure_reject,negative_control_placebo_context,False,True,True,False,False,True,True,True,True,True,True,True,False,zero_or_insufficient_support;collapsed_under_null;collapsed_under_null;placebo_only,zero_or_insufficient_support
E10P_ef521a3405e83c04,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_f3f8655223d7d8e7,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_64cb9f4db02128b1,电子,failure_reject,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_9ff91ebee7502bb1,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_b29ffe810eea70b7,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_d7154207365dd303,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_305afe134571b6c1,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_09f2dcaff0129d10,电子,failure_reject,negative_control_placebo_context,False,True,True,False,False,True,True,False,True,True,True,True,False,zero_or_insufficient_support;collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,zero_or_insufficient_support
E10P_8d5af32ad9c4e205,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_ad8e26ba785e4393,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_fe33c1590e70aaef,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_879debc6ecc62833,电子,failure_reject,negative_control_placebo_context,True,True,True,False,True,True,True,True,True,True,True,True,False,collapsed_under_null;placebo_only,collapsed_under_null
E10P_d152b83338d2d3f7,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_2a8dd91b01c9bc7b,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_17ebd2141911e2dd,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,False,True,True,True,True,False,collapsed_under_null;collapsed_under_null;instrument_year_concentration_too_high;placebo_only,collapsed_under_null
E10P_3532ed7757d7d96d,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_c13f22bd41698048,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_d6c82c36903f135a,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_b6abc3da5e1ed502,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_3ad97fa9d86be3df,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_542b7c158a299684,电子,failure_reject,negative_control_placebo_context,True,True,True,True,True,True,True,True,True,True,True,True,False,placebo_only,placebo_only
E10P_56e0294ee8229902,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
E10P_035f75c66ca6af86,电子,failure_reject,negative_control_placebo_context,True,True,True,False,False,True,True,True,True,True,True,True,False,collapsed_under_null;collapsed_under_null;placebo_only,collapsed_under_null
