null_family,null_repeat_id,industry,task,fold_id,fold_role,primitive_id,shuffle_unit,labels_permuted_or_shuffled,train_labels_permuted,validation_labels_permuted,lgbm_retrained,candidate_generation_replayed,candidate_formula_frozen_before_null,row_count,weighted_row_count,positive_count,weighted_positive_count,real_metric_reference,null_metric,random_seed,fold_2024_used,pass,placebo_scope,placebo_candidate_id,matched_primary_primitive_id,electronics_failure_stable_candidate_count,electronics_failure_equal_or_stronger_candidate_count,feature_family_placebo_creates_equal_or_stronger_candidate,candidate_formula_not_recreated_by_placebo,placebo_stress_pass
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_41657599f0942ef0,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_41657599f0942ef0,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_f46eee6116c63ab8,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_f46eee6116c63ab8,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_e6f52d9324c6a727,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_e6f52d9324c6a727,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_cf61e9054d156ad0,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_cf61e9054d156ad0,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_f8bf03977ccb0605,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_f8bf03977ccb0605,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_e29a233d92b7b379,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_e29a233d92b7b379,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_bb42a0750e30134b,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_bb42a0750e30134b,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_142a778df32a23ea,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_142a778df32a23ea,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_9c79e23c5fca0637,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_9c79e23c5fca0637,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_ef521a3405e83c04,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_ef521a3405e83c04,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_f3f8655223d7d8e7,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_f3f8655223d7d8e7,14,0,False,True,False
electronics_failure_negative_control_placebo,0,电子,failure_reject,pooled,diagnostic,E10P_64cb9f4db02128b1,placebo_scope,False,False,False,False,False,True,0,0.0,0,0.0,failure_lift_minus_false_reject_penalty,,20260507,False,True,electronics_failure_negative_control_placebo,,E10P_64cb9f4db02128b1,14,0,False,True,False
