null_family,null_repeat_id,industry,task,fold_id,fold_role,primitive_id,shuffle_unit,labels_permuted_or_shuffled,train_labels_permuted,validation_labels_permuted,lgbm_retrained,candidate_generation_replayed,candidate_formula_frozen_before_null,row_count,weighted_row_count,positive_count,weighted_positive_count,real_metric_reference,null_metric,random_seed,fold_2024_used,pass,null_model_id,null_model_config_hash,null_feature_bank_hash,null_raw_path_count,null_canonical_pattern_count,null_candidate_count,same_extraction_budget_as_real,same_canonicalization_as_real,same_train_only_policy_as_real
label_permutation_within_industry_fold,0,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.6211147612301883,0,False,True,null_label_permutation_within_industry_fold_0,,,,,,True,True,True
label_permutation_within_industry_fold,1,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.7556381074287124,1,False,True,null_label_permutation_within_industry_fold_1,,,,,,True,True,True
label_permutation_within_industry_fold,2,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.7465251676701099,2,False,True,null_label_permutation_within_industry_fold_2,,,,,,True,True,True
label_permutation_within_industry_fold,3,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.7832555511836589,3,False,True,null_label_permutation_within_industry_fold_3,,,,,,True,True,True
label_permutation_within_industry_fold,4,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.6098019082682342,4,False,True,null_label_permutation_within_industry_fold_4,,,,,,True,True,True
label_permutation_within_industry_fold,5,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.734353588562307,5,False,True,null_label_permutation_within_industry_fold_5,,,,,,True,True,True
label_permutation_within_industry_fold,6,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.7760357437388598,6,False,True,null_label_permutation_within_industry_fold_6,,,,,,True,True,True
label_permutation_within_industry_fold,7,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.8754061945112351,7,False,True,null_label_permutation_within_industry_fold_7,,,,,,True,True,True
label_permutation_within_industry_fold,8,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.8660975362497507,8,False,True,null_label_permutation_within_industry_fold_8,,,,,,True,True,True
label_permutation_within_industry_fold,9,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.9191307825027415,9,False,True,null_label_permutation_within_industry_fold_9,,,,,,True,True,True
label_permutation_within_industry_fold,10,电子,failure_reject,fold_2020,core_oof,E10P_41657599f0942ef0,industry_task_fold,True,False,True,False,False,True,1027,1027.0,366,464.96977159950563,failure_lift_minus_false_reject_penalty,0.7015532040774471,10,False,True,null_label_permutation_within_industry_fold_10,,,,,,True,True,True
