feature_name,feature_family,feature_role,formula_template_id,formula_text,raw_inputs,window,cross_section_scope,normalization_scope,feature_asof_rule,missing_value_policy,allowed_for_path_extraction,allowed_for_primitive_formula,raw_required_field_exempt,pit_required,transform_type,frozen_train_transform_required,train_fold_quantile_required,eligible_denominator_field,leakage_risk_level,formula_hash,allowed_for_launch,allowed_for_failure
open,raw_provider,raw_input,raw_input,open_t,['open'],1,none,none,signal_date,require_finite,False,False,True,True,raw,False,False,pit_universe,raw_input_exempt,,,
high,raw_provider,raw_input,raw_input,high_t,['high'],1,none,none,signal_date,require_finite,False,False,True,True,raw,False,False,pit_universe,raw_input_exempt,,,
low,raw_provider,raw_input,raw_input,low_t,['low'],1,none,none,signal_date,require_finite,False,False,True,True,raw,False,False,pit_universe,raw_input_exempt,,,
close,raw_provider,raw_input,raw_input,close_t,['close'],1,none,none,signal_date,require_finite,False,False,True,True,raw,False,False,pit_universe,raw_input_exempt,,,
volume,raw_provider,raw_input,raw_input,volume_t,['volume'],1,none,none,signal_date,require_finite,False,False,True,True,raw,False,False,pit_universe,raw_input_exempt,,,
money,raw_provider,raw_input,raw_input,money_t,['money'],1,none,none,signal_date,require_finite,False,False,True,True,raw,False,False,pit_universe,raw_input_exempt,,,
body_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,body_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,7120534eb9f1d09b,True,True
close_location,kbar_candle_shape,atomic_feature,kbar_candle_shape,close_location,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a3c341c20ebb86d6,True,True
close_open_return,kbar_candle_shape,atomic_feature,kbar_candle_shape,close_open_return,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,f550f8f9b9927846,True,True
gap_close_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,gap_close_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,e1ea2db498336102,True,True
gap_open_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,gap_open_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,0d44000d36aacbdb,True,True
high_close_ratio,kbar_candle_shape,atomic_feature,kbar_candle_shape,high_close_ratio,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,16e74600b05ab6a9,True,True
intraday_range_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,intraday_range_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,2f2c4b9b00e7ccfd,True,True
low_close_ratio,kbar_candle_shape,atomic_feature,kbar_candle_shape,low_close_ratio,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a94c798550a4c8f2,True,True
lower_shadow_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,lower_shadow_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,a32ae8a2a82b1a67,True,True
open_close_ratio,kbar_candle_shape,atomic_feature,kbar_candle_shape,open_close_ratio,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,dba30996aefa4354,True,True
upper_shadow_pct,kbar_candle_shape,atomic_feature,kbar_candle_shape,upper_shadow_pct,open;high;low;close;volume;money,,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,dac02586d6d48f2a,True,True
close_over_close_10d,rolling_return,atomic_feature,rolling_return,close_over_close_10d,open;high;low;close;volume;money,10,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,b817deaa2b80590a,True,True
close_over_close_120d,rolling_return,atomic_feature,rolling_return,close_over_close_120d,open;high;low;close;volume;money,120,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,1cb099cc255d468d,True,True
close_over_close_1d,rolling_return,atomic_feature,rolling_return,close_over_close_1d,open;high;low;close;volume;money,1,none,none,feature_asof_date = signal_date,median_impute_for_lgbm;missing_fails_token,True,True,False,True,numeric,False,True,pit_universe_on_signal_date,t_day_observable,194f163672207fba,True,True
