primitive_id,primitive_family,industry,task,primitive_text,observable_token_list,formula_text_resolved,source_path_pattern_ids,source_feature_family_set,feature_asof_rule,effective_date_rule,reference_price_rule,denominator_scope,expected_direction,real_metric_name,real_metric_formula_text,null_adjusted_signal_status,manual_primitive_allowed_for_next_requirement,reason_if_not_allowed,atomic_primitive_candidate_for_next_requirement,candidate_formula_hash
E10P_41657599f0942ef0,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q60 and money_price_coherence_60 >= train_q05 and industry_relative_strength_vs_market_60d >= train_q40,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}, {""feature_name"": ""industry_relative_strength_vs_market_60d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q40""}]",market_volatility_regime <= train_q60 and money_price_coherence_60 >= train_q05 and industry_relative_strength_vs_market_60d >= train_q40,c0f2ceda1f68d5b1,industry_market_context;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,f3c5cf944463709b
E10P_f46eee6116c63ab8,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q40 and close_over_median_40 >= train_q05 and money_price_coherence_60 >= train_q05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q40""}, {""feature_name"": ""close_over_median_40"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}]",market_volatility_regime <= train_q40 and close_over_median_40 >= train_q05 and money_price_coherence_60 >= train_q05,e12e2aab19f37aaf,industry_market_context;price_distance;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,ab3aa78d200225db
E10P_e6f52d9324c6a727,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q40 and close_over_ma_20 >= train_q10 and money_price_coherence_60 >= train_q05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q40""}, {""feature_name"": ""close_over_ma_20"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}]",market_volatility_regime <= train_q40 and close_over_ma_20 >= train_q10 and money_price_coherence_60 >= train_q05,30eccb33291a53f3,industry_market_context;price_distance;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,4f61c1f6fcaeacab
E10P_cf61e9054d156ad0,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q60 and money_price_coherence_60 >= train_q05 and close_over_ma_20 >= train_q05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q60""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}, {""feature_name"": ""close_over_ma_20"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}]",market_volatility_regime <= train_q60 and money_price_coherence_60 >= train_q05 and close_over_ma_20 >= train_q05,8e78d0edaf3d4870,industry_market_context;price_distance;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,ff3b407f74623f92
E10P_f8bf03977ccb0605,negative_control_placebo_context,电子,failure_reject,volatility_return_std_60 >= train_q40 and high_vol_destructive_ratio <= train_q95 and close_over_median_40 >= train_q10,"[{""feature_name"": ""volatility_return_std_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q40""}, {""feature_name"": ""high_vol_destructive_ratio"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}, {""feature_name"": ""close_over_median_40"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}]",volatility_return_std_60 >= train_q40 and high_vol_destructive_ratio <= train_q95 and close_over_median_40 >= train_q10,d23ae3e8642edae2,price_distance;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,82a88f3cd499ee48
E10P_e29a233d92b7b379,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q50 and close_over_median_40 >= train_q05 and money_price_coherence_60 >= train_q05,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q50""}, {""feature_name"": ""close_over_median_40"", ""feature_family"": ""price_distance"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}]",market_volatility_regime <= train_q50 and close_over_median_40 >= train_q05 and money_price_coherence_60 >= train_q05,5f9c2c30c3f51789,industry_market_context;price_distance;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,de42d1ce3cb0236e
E10P_bb42a0750e30134b,negative_control_placebo_context,电子,failure_reject,volatility_return_std_10 >= train_q10 and volume_price_divergence_10 <= train_q50 and close_over_max_high_10 <= train_q95,"[{""feature_name"": ""volatility_return_std_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}, {""feature_name"": ""volume_price_divergence_10"", ""feature_family"": ""volume_money"", ""direction"": ""less_than"", ""quantile_bucket"": ""q50""}, {""feature_name"": ""close_over_max_high_10"", ""feature_family"": ""price_distance"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",volatility_return_std_10 >= train_q10 and volume_price_divergence_10 <= train_q50 and close_over_max_high_10 <= train_q95,1c1bcd480ae4853a,price_distance;volatility_range;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,9e2e96303f104818
E10P_142a778df32a23ea,negative_control_placebo_context,电子,failure_reject,amplitude_60 >= train_q20 and ret_60d <= train_q95 and atr_like_20 <= train_q95,"[{""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""ret_60d"", ""feature_family"": ""rolling_return"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}, {""feature_name"": ""atr_like_20"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",amplitude_60 >= train_q20 and ret_60d <= train_q95 and atr_like_20 <= train_q95,83acf6aa76af6aca,rolling_return;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,14316cf9818fb6af
E10P_9c79e23c5fca0637,negative_control_placebo_context,电子,failure_reject,market_volatility_regime <= train_q40 and money_price_coherence_60 >= train_q05 and distance_to_high_120 <= train_q95,"[{""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q40""}, {""feature_name"": ""money_price_coherence_60"", ""feature_family"": ""volume_money"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q05""}, {""feature_name"": ""distance_to_high_120"", ""feature_family"": ""price_distance"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",market_volatility_regime <= train_q40 and money_price_coherence_60 >= train_q05 and distance_to_high_120 <= train_q95,f807c0f9451c93e4,industry_market_context;price_distance;volume_money,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,d953b504b5a026ac
E10P_ef521a3405e83c04,negative_control_placebo_context,电子,failure_reject,ret_60d_market_rank >= train_q50 and market_volatility_regime >= train_q30 and ret_20d_market_rank >= train_q10,"[{""feature_name"": ""ret_60d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q50""}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30""}, {""feature_name"": ""ret_20d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}]",ret_60d_market_rank >= train_q50 and market_volatility_regime >= train_q30 and ret_20d_market_rank >= train_q10,ea2f693a7387e548,cross_section_rank;industry_market_context,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,564b0d643afbe35f
E10P_f3f8655223d7d8e7,negative_control_placebo_context,电子,failure_reject,amplitude_60 >= train_q20 and ret_60d <= train_q95 and atr_like_10 <= train_q90,"[{""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""ret_60d"", ""feature_family"": ""rolling_return"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q90""}]",amplitude_60 >= train_q20 and ret_60d <= train_q95 and atr_like_10 <= train_q90,9a87bee60cefcac9,rolling_return;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,f549b8616107a8e0
E10P_64cb9f4db02128b1,negative_control_placebo_context,电子,failure_reject,amplitude_60 >= train_q20 and industry_relative_strength_vs_market_20d >= train_q10 and atr_like_10 <= train_q90,"[{""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""industry_relative_strength_vs_market_20d"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q10""}, {""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q90""}]",amplitude_60 >= train_q20 and industry_relative_strength_vs_market_20d >= train_q10 and atr_like_10 <= train_q90,4d560c5bc3fa587b,industry_market_context;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,630dcb61ecc75aad
E10P_9ff91ebee7502bb1,negative_control_placebo_context,电子,failure_reject,amplitude_60 >= train_q20 and intraday_range_pct >= train_q20 and ret_10d_market_rank <= train_q95,"[{""feature_name"": ""amplitude_60"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""intraday_range_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q20""}, {""feature_name"": ""ret_10d_market_rank"", ""feature_family"": ""cross_section_rank"", ""direction"": ""less_than"", ""quantile_bucket"": ""q95""}]",amplitude_60 >= train_q20 and intraday_range_pct >= train_q20 and ret_10d_market_rank <= train_q95,e625b48ce7bd9e6a,cross_section_rank;kbar_candle_shape;volatility_range,feature_asof_date = signal_date,next_trading_day(signal_date),next_open,industry_task_fold_eligible_oof_rows,higher_positive_rate_than_fold_baseline,failure_lift_minus_false_reject_penalty,weighted candidate positive rate / weighted fold baseline positive rate,not_evaluated,False,not_evaluated,False,b74be8c2942448e4
