industry,task,fold_id,contract_id,row_count,eligible_row_count,feature_asof_leakage_violation_count,feature_asof_not_equal_signal_count,feature_asof_leakage_audit_pass
汽车,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,1877,642,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,1877,852,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1877,1078,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1877,1320,0,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1877,1613,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,5597,2073,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,5597,2843,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,5597,3404,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,5597,4144,0,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,5597,5165,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,2972,666,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,2972,1104,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,2972,1472,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,2972,1913,0,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,2972,2396,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,8884,2309,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,8884,3636,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,8884,4861,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,8884,6107,0,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,8884,7739,0,0,True
