access_seq,accessed_at_utc,operation,path_or_resource,freeze_manifest_listed,raw_input,allowed,status
1,2026-07-13T15:48:17.484277Z,read,freeze/freeze_bundle_manifest.json,true,false,true,pass
2,2026-07-13T15:48:17.484352Z,read,freeze/freeze_output_hashes_21a.json,true,false,true,pass
3,2026-07-13T15:48:17.484923Z,read,freeze/21A_contract_freeze.md,true,false,true,pass
4,2026-07-13T15:48:17.484969Z,read,freeze/alpha158_expression_hash.txt,true,false,true,pass
5,2026-07-13T15:48:17.485000Z,read,freeze/alpha158_expression_registry.csv,true,false,true,pass
6,2026-07-13T15:48:17.485038Z,read,freeze/alpha158_factor_jump_window_quarantine_sensitivity.csv,true,false,true,pass
7,2026-07-13T15:48:17.485057Z,read,freeze/alpha158_local_field_mapping.csv,true,false,true,pass
8,2026-07-13T15:48:17.613151Z,read,freeze/alpha158_volume_corporate_action_audit.csv,true,false,true,pass
9,2026-07-13T15:48:17.750332Z,read,freeze/contract_freeze_21a.json,true,false,true,pass
10,2026-07-13T15:48:17.750413Z,read,freeze/decision_universe_and_label_resolution_contract.csv,true,false,true,pass
11,2026-07-13T15:48:17.750439Z,read,freeze/dependency_lock_change_and_runtime_contract.csv,true,false,true,pass
12,2026-07-13T15:48:17.750461Z,read,freeze/feature_cache_manifest.json,true,false,true,pass
13,2026-07-13T15:48:17.750481Z,read,freeze/feature_normalization_and_missingness_contract.csv,true,false,true,pass
14,2026-07-13T15:48:17.750572Z,read,freeze/feature_sequence_support_audit.csv,true,false,true,pass
15,2026-07-13T15:48:17.750666Z,read,freeze/forward_refit_and_comparator_freeze.csv,true,false,true,pass
16,2026-07-13T15:48:17.750688Z,read,freeze/gradient_flow_and_teacher_isolation_audit.csv,true,false,true,pass
17,2026-07-13T15:48:17.750707Z,read,freeze/human_restart_authorization.json,true,false,true,pass
18,2026-07-13T15:48:17.750727Z,read,freeze/hyperparameter_and_search_budget_freeze.csv,true,false,true,pass
19,2026-07-13T15:48:17.750750Z,read,freeze/input_artifact_audit.csv,true,false,true,pass
20,2026-07-13T15:48:17.750772Z,read,freeze/label_semantics_freeze.csv,true,false,true,pass
21,2026-07-13T15:48:17.750791Z,read,freeze/metric_margin_power_freeze.csv,true,false,true,pass
22,2026-07-13T15:48:17.750812Z,read,freeze/model_arm_registry.csv,true,false,true,pass
23,2026-07-13T15:48:17.750832Z,read,freeze/official_code_availability_audit.csv,true,false,true,pass
24,2026-07-13T15:48:17.750854Z,read,freeze/paper_formula_and_architecture_registry.csv,true,false,true,pass
25,2026-07-13T15:48:17.750879Z,read,freeze/paper_reproducibility_gap_registry.csv,true,false,true,pass
26,2026-07-13T15:48:17.750900Z,read,freeze/paper_source_registry.csv,true,false,true,pass
27,2026-07-13T15:48:17.750922Z,read,freeze/per_arm_loss_and_score_index_contract.csv,true,false,true,pass
28,2026-07-13T15:48:17.750941Z,read,freeze/pit_membership_signal_execution_timing_audit.csv,true,false,true,pass
29,2026-07-13T15:48:17.753191Z,read,freeze/preoutcome_access_log.csv,true,false,true,pass
30,2026-07-13T15:48:17.755745Z,read,freeze/resolved_config.yaml,true,false,true,pass
31,2026-07-13T15:48:17.755799Z,read,freeze/runtime_dependency_gpu_audit.csv,true,false,true,pass
32,2026-07-13T15:48:17.755822Z,read,freeze/seed_and_randomness_freeze.csv,true,false,true,pass
33,2026-07-13T15:48:17.755842Z,read,freeze/source_data_inventory.csv,true,false,true,pass
34,2026-07-13T15:48:17.755863Z,read,freeze/split_purge_embargo_freeze.csv,true,false,true,pass
35,2026-07-13T15:48:17.755883Z,read,freeze/tensor_shape_contract.csv,true,false,true,pass
36,2026-07-13T15:48:17.755904Z,read,freeze/train_teacher_inference_graph_contract.csv,true,false,true,pass
37,2026-07-13T15:48:17.755926Z,read,freeze/upstream_scope_and_lineage_audit.csv,true,false,true,pass
38,2026-07-13T15:48:17.757251Z,read,freeze/vwap_qfq_unit_and_range_audit.csv,true,false,true,pass
