gate_id,check_id,evidence_artifact,evidence_selector,observed_value,required_value,status,blocking_reason
human_restart_scope_gate,H01,freeze/human_restart_authorization.json,independent_predicate:human_restart_scope_gate.H01,true,true,pass,
human_restart_scope_gate,H02,freeze/human_restart_authorization.json,independent_predicate:human_restart_scope_gate.H02,true,true,pass,
human_restart_scope_gate,H03,freeze/human_restart_authorization.json,independent_predicate:human_restart_scope_gate.H03,true,true,pass,
human_restart_scope_gate,H04,freeze/human_restart_authorization.json,independent_predicate:human_restart_scope_gate.H04,true,true,pass,
paper_source_lineage_gate,P01,freeze/paper_source_registry.csv,independent_predicate:paper_source_lineage_gate.P01,true,true,pass,
paper_source_lineage_gate,P02,freeze/paper_source_registry.csv,independent_predicate:paper_source_lineage_gate.P02,true,true,pass,
paper_source_lineage_gate,P03,freeze/paper_source_registry.csv,independent_predicate:paper_source_lineage_gate.P03,true,true,pass,
paper_source_lineage_gate,P04,freeze/paper_source_registry.csv,independent_predicate:paper_source_lineage_gate.P04,true,true,pass,
paper_source_lineage_gate,P05,freeze/paper_source_registry.csv,independent_predicate:paper_source_lineage_gate.P05,true,true,pass,
paper_formula_contract_gate,PF01,freeze/paper_formula_and_architecture_registry.csv,independent_predicate:paper_formula_contract_gate.PF01,true,true,pass,
paper_formula_contract_gate,PF02,freeze/paper_formula_and_architecture_registry.csv,independent_predicate:paper_formula_contract_gate.PF02,true,true,pass,
paper_formula_contract_gate,PF03,freeze/paper_formula_and_architecture_registry.csv,independent_predicate:paper_formula_contract_gate.PF03,true,true,pass,
paper_formula_contract_gate,PF04,freeze/paper_formula_and_architecture_registry.csv,independent_predicate:paper_formula_contract_gate.PF04,true,true,pass,
paper_formula_contract_gate,PF05,freeze/paper_formula_and_architecture_registry.csv,independent_predicate:paper_formula_contract_gate.PF05,true,true,pass,
alpha158_expression_gate,A01,freeze/alpha158_expression_registry.csv,independent_predicate:alpha158_expression_gate.A01,true,true,pass,
alpha158_expression_gate,A02,freeze/alpha158_expression_registry.csv,independent_predicate:alpha158_expression_gate.A02,true,true,pass,
alpha158_expression_gate,A03,freeze/alpha158_expression_registry.csv,independent_predicate:alpha158_expression_gate.A03,true,true,pass,
alpha158_expression_gate,A04,freeze/alpha158_expression_registry.csv,independent_predicate:alpha158_expression_gate.A04,true,true,pass,
alpha158_expression_gate,A05,freeze/alpha158_expression_registry.csv,independent_predicate:alpha158_expression_gate.A05,true,true,pass,
vwap_qfq_unit_contract_gate,V01,freeze/vwap_qfq_unit_and_range_audit.csv,independent_predicate:vwap_qfq_unit_contract_gate.V01,true,true,pass,
vwap_qfq_unit_contract_gate,V02,freeze/vwap_qfq_unit_and_range_audit.csv,independent_predicate:vwap_qfq_unit_contract_gate.V02,true,true,pass,
vwap_qfq_unit_contract_gate,V03,freeze/vwap_qfq_unit_and_range_audit.csv,independent_predicate:vwap_qfq_unit_contract_gate.V03,true,true,pass,
vwap_qfq_unit_contract_gate,V04,freeze/vwap_qfq_unit_and_range_audit.csv,independent_predicate:vwap_qfq_unit_contract_gate.V04,true,true,pass,
vwap_qfq_unit_contract_gate,V05,freeze/vwap_qfq_unit_and_range_audit.csv,independent_predicate:vwap_qfq_unit_contract_gate.V05,true,true,pass,
volume_corporate_action_semantics_gate,VC01,freeze/alpha158_volume_corporate_action_audit.csv,independent_predicate:volume_corporate_action_semantics_gate.VC01,true,true,pass,
volume_corporate_action_semantics_gate,VC02,freeze/alpha158_volume_corporate_action_audit.csv,independent_predicate:volume_corporate_action_semantics_gate.VC02,true,true,pass,
volume_corporate_action_semantics_gate,VC03,freeze/alpha158_volume_corporate_action_audit.csv,independent_predicate:volume_corporate_action_semantics_gate.VC03,true,true,pass,
volume_corporate_action_semantics_gate,VC04,freeze/alpha158_volume_corporate_action_audit.csv,independent_predicate:volume_corporate_action_semantics_gate.VC04,true,true,pass,
feature_materialization_route_gate,F01,freeze/feature_cache_manifest.json,independent_predicate:feature_materialization_route_gate.F01,true,true,pass,
feature_materialization_route_gate,F02,freeze/feature_cache_manifest.json,independent_predicate:feature_materialization_route_gate.F02,true,true,pass,
feature_materialization_route_gate,F03,freeze/feature_cache_manifest.json,independent_predicate:feature_materialization_route_gate.F03,true,true,pass,
feature_materialization_route_gate,F04,freeze/feature_cache_manifest.json,independent_predicate:feature_materialization_route_gate.F04,true,true,pass,
feature_materialization_route_gate,F05,freeze/feature_cache_manifest.json,independent_predicate:feature_materialization_route_gate.F05,true,true,pass,
feature_materialization_route_gate,F06,freeze/feature_cache_manifest.json,independent_predicate:feature_materialization_route_gate.F06,true,true,pass,
pit_membership_timing_gate,U01,freeze/pit_membership_signal_execution_timing_audit.csv,check_id=U01,true,true,pass,
pit_membership_timing_gate,U02,freeze/pit_membership_signal_execution_timing_audit.csv,check_id=U02,true,true,pass,
pit_membership_timing_gate,U03,freeze/pit_membership_signal_execution_timing_audit.csv,check_id=U03,true,true,pass,
pit_membership_timing_gate,U04,freeze/pit_membership_signal_execution_timing_audit.csv,check_id=U04,true,true,pass,
pit_membership_timing_gate,U05,freeze/pit_membership_signal_execution_timing_audit.csv,check_id=U05,true,true,pass,
decision_denominator_contract_gate,D01,freeze/feature_sequence_support_audit.csv,independent_predicate:decision_denominator_contract_gate.D01,true,true,pass,
decision_denominator_contract_gate,D02,freeze/feature_sequence_support_audit.csv,independent_predicate:decision_denominator_contract_gate.D02,true,true,pass,
decision_denominator_contract_gate,D03,freeze/feature_sequence_support_audit.csv,independent_predicate:decision_denominator_contract_gate.D03,true,true,pass,
decision_denominator_contract_gate,D04,freeze/feature_sequence_support_audit.csv,independent_predicate:decision_denominator_contract_gate.D04,true,true,pass,
decision_denominator_contract_gate,D05,freeze/feature_sequence_support_audit.csv,independent_predicate:decision_denominator_contract_gate.D05,true,true,pass,
feature_sequence_support_gate,FS01,freeze/feature_sequence_support_audit.csv,independent_predicate:feature_sequence_support_gate.FS01,true,true,pass,
feature_sequence_support_gate,FS02,freeze/feature_sequence_support_audit.csv,independent_predicate:feature_sequence_support_gate.FS02,true,true,pass,
feature_sequence_support_gate,FS03,freeze/feature_sequence_support_audit.csv,independent_predicate:feature_sequence_support_gate.FS03,true,true,pass,
feature_sequence_support_gate,FS04,freeze/feature_sequence_support_audit.csv,independent_predicate:feature_sequence_support_gate.FS04,true,true,pass,
feature_sequence_support_gate,FS05,freeze/feature_sequence_support_audit.csv,independent_predicate:feature_sequence_support_gate.FS05,true,true,pass,
feature_label_alignment_gate,FL01,freeze/label_semantics_freeze.csv,independent_predicate:feature_label_alignment_gate.FL01,true,true,pass,
feature_label_alignment_gate,FL02,freeze/label_semantics_freeze.csv,independent_predicate:feature_label_alignment_gate.FL02,true,true,pass,
feature_label_alignment_gate,FL03,freeze/label_semantics_freeze.csv,independent_predicate:feature_label_alignment_gate.FL03,true,true,pass,
feature_label_alignment_gate,FL04,freeze/label_semantics_freeze.csv,independent_predicate:feature_label_alignment_gate.FL04,true,true,pass,
train_teacher_inference_graph_gate,G01,freeze/train_teacher_inference_graph_contract.csv,independent_predicate:train_teacher_inference_graph_gate.G01,true,true,pass,
train_teacher_inference_graph_gate,G02,freeze/train_teacher_inference_graph_contract.csv,independent_predicate:train_teacher_inference_graph_gate.G02,true,true,pass,
train_teacher_inference_graph_gate,G03,freeze/train_teacher_inference_graph_contract.csv,independent_predicate:train_teacher_inference_graph_gate.G03,true,true,pass,
train_teacher_inference_graph_gate,G04,freeze/train_teacher_inference_graph_contract.csv,independent_predicate:train_teacher_inference_graph_gate.G04,true,true,pass,
gradient_teacher_isolation_gate,GI01,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI01,true,true,pass,
gradient_teacher_isolation_gate,GI02,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI02,true,true,pass,
gradient_teacher_isolation_gate,GI03,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI03,true,true,pass,
gradient_teacher_isolation_gate,GI04,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI04,true,true,pass,
gradient_teacher_isolation_gate,GI05,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI05,true,true,pass,
gradient_teacher_isolation_gate,GI06,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI06,true,true,pass,
gradient_teacher_isolation_gate,GI07,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI07,true,true,pass,
gradient_teacher_isolation_gate,GI08,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI08,true,true,pass,
gradient_teacher_isolation_gate,GI09,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI09,true,true,pass,
gradient_teacher_isolation_gate,GI10,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI10,true,true,pass,
gradient_teacher_isolation_gate,GI11,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI11,true,true,pass,
gradient_teacher_isolation_gate,GI12,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI12,true,true,pass,
gradient_teacher_isolation_gate,GI13,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI13,true,true,pass,
gradient_teacher_isolation_gate,GI14,freeze/gradient_flow_and_teacher_isolation_audit.csv,check_id=GI14,true,true,pass,
architecture_shape_gate,S01,freeze/tensor_shape_contract.csv,independent_predicate:architecture_shape_gate.S01,true,true,pass,
architecture_shape_gate,S02,freeze/tensor_shape_contract.csv,independent_predicate:architecture_shape_gate.S02,true,true,pass,
architecture_shape_gate,S03,freeze/tensor_shape_contract.csv,independent_predicate:architecture_shape_gate.S03,true,true,pass,
architecture_shape_gate,S04,freeze/tensor_shape_contract.csv,independent_predicate:architecture_shape_gate.S04,true,true,pass,
loss_reduction_gate,L01,freeze/gradient_flow_and_teacher_isolation_audit.csv,independent_predicate:loss_reduction_gate.L01,true,true,pass,
loss_reduction_gate,L02,freeze/gradient_flow_and_teacher_isolation_audit.csv,independent_predicate:loss_reduction_gate.L02,true,true,pass,
loss_reduction_gate,L03,freeze/gradient_flow_and_teacher_isolation_audit.csv,independent_predicate:loss_reduction_gate.L03,true,true,pass,
loss_reduction_gate,L04,freeze/gradient_flow_and_teacher_isolation_audit.csv,independent_predicate:loss_reduction_gate.L04,true,true,pass,
model_arm_and_fairness_gate,M01,freeze/model_arm_registry.csv,independent_predicate:model_arm_and_fairness_gate.M01,true,true,pass,
model_arm_and_fairness_gate,M02,freeze/model_arm_registry.csv,independent_predicate:model_arm_and_fairness_gate.M02,true,true,pass,
model_arm_and_fairness_gate,M03,freeze/model_arm_registry.csv,independent_predicate:model_arm_and_fairness_gate.M03,true,true,pass,
model_arm_and_fairness_gate,M04,freeze/model_arm_registry.csv,independent_predicate:model_arm_and_fairness_gate.M04,true,true,pass,
model_arm_and_fairness_gate,M05,freeze/model_arm_registry.csv,independent_predicate:model_arm_and_fairness_gate.M05,true,true,pass,
split_purge_gate,SP01,freeze/split_purge_embargo_freeze.csv,independent_predicate:split_purge_gate.SP01,true,true,pass,
split_purge_gate,SP02,freeze/split_purge_embargo_freeze.csv,independent_predicate:split_purge_gate.SP02,true,true,pass,
split_purge_gate,SP03,freeze/split_purge_embargo_freeze.csv,independent_predicate:split_purge_gate.SP03,true,true,pass,
split_purge_gate,SP04,freeze/split_purge_embargo_freeze.csv,independent_predicate:split_purge_gate.SP04,true,true,pass,
split_purge_gate,SP05,freeze/split_purge_embargo_freeze.csv,independent_predicate:split_purge_gate.SP05,true,true,pass,
historical_holdout_firewall_gate,HF01,freeze/preoutcome_access_log.csv,independent_predicate:historical_holdout_firewall_gate.HF01,true,true,pass,
historical_holdout_firewall_gate,HF02,freeze/preoutcome_access_log.csv,independent_predicate:historical_holdout_firewall_gate.HF02,true,true,pass,
historical_holdout_firewall_gate,HF03,freeze/preoutcome_access_log.csv,independent_predicate:historical_holdout_firewall_gate.HF03,true,true,pass,
