artifact_role,artifact_path,resolved_path,required_flag,lineage_role,read_status,row_count,column_count,sha256,schema_status,required_column_missing_list,input_gate_status
requirement,requirement_15b_winner_path_shape_taxonomy_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15b_winner_path_shape_taxonomy_diagnostic.md,True,15B_input,pass,,,9d4be4b3318f8fbdd8629f4065dfe2c3bced17d88e061826291ce007ddf19cbf,pass,,pass
source_plan,research_plan.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/research_plan.md,True,15B_input,pass,,,8a0490e1a3035322ec16dbb2e6919ebfd402104e8e259a90ea553212e0143824,pass,,pass
stock_daily_qfq_dir,data/raw/akshare/day/qfq,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,True,15B_input,pass,4598.0,,3920a885ae8650c2b2446f50c990717bc4f8a61c533936d610df7ee7cfe9615f,directory,,pass
upstream_requirement_15a,requirement_15a_winner_episode_label_censoring_diagnostic.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/requirement_15a_winner_episode_label_censoring_diagnostic.md,True,15B_input,pass,,,75d82119e6484a8f03f8c28008443884a42d9fca0b33f33e972a6da6dc2df47c,pass,,pass
upstream_15a_manifest,outputs/manifests/15A_winner_episode_label_censoring_diagnostic_manifest.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/manifests/15A_winner_episode_label_censoring_diagnostic_manifest.json,True,15B_input,pass,,,1b6f0a7f11608642a5f6a6efe7aa323bbaf2eed2167649aae58e229637e999ae,pass,,pass
upstream_15a_path_defined_label_cache,outputs/local_cache/15A_winner_episode_label_censoring_diagnostic/path_defined_label_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/local_cache/15A_winner_episode_label_censoring_diagnostic/path_defined_label_panel.parquet,True,15B_input,pass,1226145.0,48.0,9c5887346f6f052dfc3c9a49355413a8a68406e4ae8c16ca0693c3aa61022ba8,pass,,pass
upstream_15a_decision,outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/winner_episode_label_censoring_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/winner_episode_label_censoring_decision.csv,True,15B_input,pass,1.0,31.0,18058c5c1da490583aaa6247c8ee76b4266397874665e8f78b6984d6b1088cdd,pass,,pass
upstream_15a_winner_set_difference,outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/winner_set_difference_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/winner_set_difference_readout.csv,True,15B_input,pass,12.0,25.0,2bf30a6c3bd8e386403693e84c40e987e819c10967791abfb4f3a3feaf339158,pass,,pass
upstream_15a_time_to_threshold,outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/time_to_threshold_distribution_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/time_to_threshold_distribution_readout.csv,True,15B_input,pass,12.0,15.0,74b46639e3b32555ef0f6eb072ce312f1c347eb2ee5fda820d370975bfd860d9,pass,,pass
upstream_15a_episode_overlap,outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/episode_overlap_density_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/episode_overlap_density_audit.csv,True,15B_input,pass,12.0,11.0,2a9d51685c332019ca1aa1919bae2637a24c14857f8b9c4dcb0dcdd2c8ef2c98,pass,,pass
upstream_15a_search_accounting,outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/search_accounting_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/search_accounting_audit.csv,True,15B_input,pass,1.0,14.0,3aad977c3fc356e10ca17d15a308dfb822fa1722999d1dda7c7dc8bcbb987c15,pass,,pass
upstream_15a_lineage,outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/upstream_lineage_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/15_path_defined_winner_episode_label_v0/outputs/publishable/tables/15A_winner_episode_label_censoring_diagnostic/upstream_lineage_audit.csv,True,15B_input,pass,5.0,19.0,96ef9006b3b0a15e59592f2bb1f887b86e9fb334fa8eb431210fda38edd5512f,pass,,pass
