artifact_id,path,sha256,expected_role,preoutcome_only,manifest_verified,allowed,status,blocking_reason
EP19_censoring_treatment_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/censoring_treatment_freeze.csv,ab6ede0b7e40c43b79865bf60bf2d875e371f323a695ddc0e820258f0c8529ae,preoutcome_contract_input,true,true,true,pass,
EP19_entry_execution_convention_audit,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_execution_convention_audit.csv,09d915c66d4be59d47ba508131e579affb0adb1c78914ccdf9689d733a79654d,preoutcome_contract_input,true,true,true,pass,
EP19_entry_universe_preflight_decision,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/entry_universe_preflight_decision.csv,10a86f073207bd42ae16048fdd1604e6cbcea12c6a79c35b0c05f121a1e3456b,preoutcome_contract_input,true,true,true,pass,
EP19_manifest_19a_entry_universe_pit_lineage_tradability_and_data_contract,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/manifest_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,e3f54ca404ae0cac81f438ab61eb255a71c2c8f53a7b48e43039c3124035875c,preoutcome_contract_input,true,true,true,pass,
EP19_output_hashes_19a_entry_universe_pit_lineage_tradability_and_data_contract,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/output_hashes_19a_entry_universe_pit_lineage_tradability_and_data_contract.json,e0989e06452a44d1f15c2d965b7ce04ffa77ccf848fa4be7a823510e5de8f18b,preoutcome_contract_input,true,true,true,pass,
EP19_replay_cost_assumption_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/replay_cost_assumption_freeze.csv,2b164c5aff823b1ebddb679a93936dc3a637b4252ca10c8d4252d92e3bfee7ac,preoutcome_contract_input,true,true,true,pass,
EP20A_20A_preoutcome_contract_decision,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/20A_preoutcome_contract_decision.csv,40aff56b1aa3e7505ff63a373955e247d54d007f70eb1548c62853e5dbef948a,preoutcome_contract_input,true,true,true,pass,
EP20A_a_share_price_limit_rules_v1,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/references/market_rules/a_share_price_limit_rules_v1.csv,236f0fc2e3f6d8f48a2981707862d4cdb015e123f2e6fecd874bbb2e93baa897,preoutcome_contract_input,true,true,true,pass,
EP20A_execution_and_cost_inheritance_audit,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/execution_and_cost_inheritance_audit.csv,c83822e2438fc211e683a14e5038adce996f3441ebb6693cc1dabb05e234467b,preoutcome_contract_input,true,true,true,pass,
EP20A_execution_fill_and_exit_rule_freeze,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/execution_fill_and_exit_rule_freeze.csv,7bce5a79d366b4a70dac915cb9582c99f1aaa13b12759fd7db8dcd717b32bf98,preoutcome_contract_input,true,true,true,pass,
EP20A_freeze_manifest_20a,topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20A_paper_lineage_data_and_replication_contract/freeze/freeze_manifest_20a.json,0ce8158cfb98c173bf4b914ea80783b413d15cb91942f19be310ac99805032f0,preoutcome_contract_input,true,true,true,pass,
