split_bucket,action,event_n,action_n,action_fraction,ex_post_duplicate_action_n,t0_known_crowded_action_n
train,increase,6232,750,0.12034659820282413,625,0
train,keep,6232,0,0.0,0,0
train,reduce,6232,2986,0.47913992297817715,2708,2082
train,skip,6232,2496,0.40051347881899874,1971,935
validation,increase,2627,357,0.1358964598401218,295,0
validation,keep,2627,0,0.0,0,0
validation,reduce,2627,1465,0.5576703464027408,1314,1119
validation,skip,2627,805,0.3064331937571374,571,251
robustness,increase,4813,677,0.14066071057552462,578,0
robustness,keep,4813,0,0.0,0,0
robustness,reduce,4813,2457,0.510492416372325,2289,1746
robustness,skip,4813,1679,0.34884687305215045,1330,507
