fold_id,label_name,model_id,train_row_count,valid_row_count,best_iteration,valid_metric,rank_ic_mean_valid,fit_status
fold_2021,LABEL_1D_Q,LGBM_REGRESSION_ALPHA158_FIXED_V1,116360,63366,46,0.0021244623388518,0.0396463703998429,fit_success
fold_2022,LABEL_1D_Q,LGBM_REGRESSION_ALPHA158_FIXED_V1,179726,77139,32,0.0018744619120935,0.0214567811409298,fit_success
fold_2023,LABEL_1D_Q,LGBM_REGRESSION_ALPHA158_FIXED_V1,256865,78126,14,0.0008938645161339,0.0206294978598153,fit_success
fold_2024,LABEL_1D_Q,LGBM_REGRESSION_ALPHA158_FIXED_V1,334991,73850,7,0.0004415061962764,0.0079436710556081,fit_success
fold_2025,LABEL_1D_Q,LGBM_REGRESSION_ALPHA158_FIXED_V1,408841,73446,35,0.0010662251044376,0.0203702472944995,fit_success
fold_2021,LABEL_5D,LGBM_REGRESSION_ALPHA158_FIXED_V1,116360,63366,51,0.0092146029123136,0.0766751480359285,fit_success
fold_2022,LABEL_5D,LGBM_REGRESSION_ALPHA158_FIXED_V1,179726,77139,15,0.0054573320165272,0.0245336969004528,fit_success
fold_2023,LABEL_5D,LGBM_REGRESSION_ALPHA158_FIXED_V1,256865,78126,56,0.0071084099867834,0.0551451576898556,fit_success
fold_2024,LABEL_5D,LGBM_REGRESSION_ALPHA158_FIXED_V1,334991,73850,7,0.0021616377345625,0.0100492974906083,fit_success
fold_2025,LABEL_5D,LGBM_REGRESSION_ALPHA158_FIXED_V1,408841,73446,96,0.0076229608041931,0.049504280736695,fit_success
fold_2021,LABEL_10D,LGBM_REGRESSION_ALPHA158_FIXED_V1,116360,63366,51,0.0157938386997238,0.0960031456430239,fit_success
fold_2022,LABEL_10D,LGBM_REGRESSION_ALPHA158_FIXED_V1,179726,77139,1,0.0082888029447826,0.0157850330858037,fit_success
fold_2023,LABEL_10D,LGBM_REGRESSION_ALPHA158_FIXED_V1,256865,78126,32,0.0093235026904742,0.0621414760004705,fit_success
fold_2024,LABEL_10D,LGBM_REGRESSION_ALPHA158_FIXED_V1,334991,73850,1,0.0040976387161028,0.0041287482802072,fit_success
fold_2025,LABEL_10D,LGBM_REGRESSION_ALPHA158_FIXED_V1,408841,73446,69,0.0116515902741752,0.0582282476363408,fit_success
